date,maxpressurem,maxdewptm,maxpressurei,group
2011-05-01,1026,6,30.31,4
2011-05-02,1026,10,30.31,3
2011-05-03,1021,15,30.14,2
2011-05-04,1017,14,30.03,3
2011-05-05,1016,4,30.01,4
2011-05-06,1015,8,29.99,4
2011-05-07,1011,8,29.87,4
2011-05-08,1014,9,29.96,4
2011-05-09,1016,9,30.01,4
2011-05-10,1017,8,30.05,4
2011-05-11,1019,10,30.09,3
2011-05-12,1019,11,30.1,3
2011-05-13,1017,11,30.03,3
2011-05-14,1012,13,29.89,3
2011-05-15,1007,18,29.74,1
2011-05-16,1011,16,29.87,2
2011-05-17,1015,14,29.98,3
2011-05-18,1017,16,30.03,2
2011-05-19,1017,18,30.05,1
2011-05-20,1015,16,29.99,2
2011-05-21,1017,17,30.05,2
2011-05-22,1023,14,30.2,3
2011-05-23,1021,17,30.15,2
2011-05-24,1009,21,29.81,1
2011-05-25,1014,16,29.95,2
2011-05-26,1014,20,29.96,1
2011-05-27,1016,21,30.01,1
2011-05-28,1019,20,30.09,1
2011-05-29,1021,21,30.14,1
2011-05-30,1020,21,30.13,1
