,winner_idx,wins,traffic,conversion
0,0,117,2913,0.04016477857878476
1,1,59,1401,0.042112776588151324
2,1,765,16246,0.04708851409577742
3,1,99,2089,0.047391096218286265
4,1,66,1401,0.047109207708779445
5,1,181,3478,0.05204140310523289
6,1,257,5723,0.0449065175607199
7,1,78,1794,0.043478260869565216
8,1,85,1404,0.06054131054131054
9,1,74,1595,0.04639498432601881
10,1,79,1401,0.05638829407566024
11,0,143,2848,0.05021067415730337
12,1,207,4689,0.044145873320537425
13,1,76,1401,0.05424696645253391
14,1,62,1401,0.04425410421127766
15,1,89,1934,0.046018614270941054
16,1,149,3244,0.04593094944512947
17,1,338,7092,0.047659334461364916
18,1,67,1452,0.046143250688705235
19,1,62,1401,0.04425410421127766
20,1,119,1889,0.06299629433562731
21,1,525,12349,0.042513563851323995
22,1,89,1721,0.051714119697850086
23,1,240,5799,0.04138644593895499
24,1,66,1401,0.047109207708779445
25,0,64,1404,0.045584045584045586
26,1,260,5343,0.04866180048661801
27,1,181,4022,0.04500248632521134
28,1,192,4360,0.044036697247706424
29,1,67,1401,0.04782298358315489
30,0,60,1401,0.042826552462526764
31,1,84,1810,0.04640883977900553
32,1,192,4441,0.043233505967124525
33,1,70,1765,0.039660056657223795
34,1,63,1401,0.044967880085653104
35,1,59,1401,0.042112776588151324
36,1,231,4992,0.046274038461538464
37,0,101,2413,0.04185661002900953
38,1,72,1401,0.05139186295503212
39,0,76,1401,0.05424696645253391
40,1,74,1555,0.047588424437299034
41,1,58,1447,0.04008293020041465
42,1,125,2308,0.05415944540727903
43,1,73,1401,0.052105638829407566
44,1,58,1451,0.03997243280496209
45,1,118,2569,0.045932269365511876
46,1,68,1432,0.04748603351955307
47,1,185,4087,0.04526547589919256
48,0,98,2217,0.04420387911592242
49,0,101,2396,0.042153589315525875
50,1,112,2545,0.04400785854616896
51,1,115,2083,0.055208833413346134
52,1,61,1402,0.043509272467902996
53,1,95,2180,0.04357798165137615
54,0,121,2749,0.04401600582029829
55,1,124,2746,0.04515659140568099
56,0,172,3399,0.050603118564283615
57,1,180,4059,0.04434589800443459
58,1,80,1401,0.05710206995003569
59,1,76,1737,0.04375359815774323
60,1,255,5724,0.044549266247379454
61,1,109,2087,0.052228078581696216
62,1,672,14430,0.04656964656964657
63,1,77,1401,0.054960742326909354
64,1,74,1405,0.052669039145907474
65,1,71,1713,0.04144775248102744
66,1,77,1401,0.054960742326909354
67,1,201,4153,0.04839874789308933
68,0,61,1401,0.04354032833690221
69,1,71,1401,0.05067808708065667
70,1,77,1401,0.054960742326909354
71,1,87,1889,0.04605611434621493
72,1,67,1401,0.04782298358315489
73,1,58,1401,0.04139900071377588
74,1,127,3097,0.04100742654181466
75,1,145,2442,0.059377559377559376
76,1,83,1743,0.047619047619047616
77,1,535,11140,0.048025134649910234
78,1,441,9364,0.04709525843656557
79,1,85,1577,0.053899809765377296
80,1,72,1401,0.05139186295503212
81,1,127,2966,0.0428186109238031
82,1,94,1831,0.05133806663025669
83,1,55,1401,0.039257673090649536
84,1,74,1462,0.0506155950752394
85,1,215,4555,0.04720087815587267
86,0,49,1401,0.03497501784439686
87,1,1028,21952,0.04682944606413994
88,1,61,1581,0.038583175205566096
89,1,168,3922,0.04283528811830699
90,1,374,7709,0.048514723050979376
91,1,163,3067,0.053146397130746655
92,1,230,4631,0.04966529907147484
93,0,69,1526,0.045216251638269984
94,1,59,1401,0.042112776588151324
95,1,145,3017,0.04806098773616175
96,1,107,2086,0.05129434324065196
97,1,65,1468,0.04427792915531335
98,1,535,11196,0.04778492318685245
99,1,167,3762,0.044391281233386495
